"Zip/Postal Code","Zip/Postal Code"
Country,Country
facebook.com/,facebook.com/
instagram.com/,instagram.com/
twitter.com/,twitter.com/
plus.google.com/,plus.google.com/
vimeo.com/,vimeo.com/
youtube.com/,youtube.com/
pinterest.com/,pinterest.com/
"Voila! Account Created!","Voila! Account Created!"
"(This will be used to display your public profile)","(This will be used to display your public profile)"
"Allowed extensions: ","Allowed extensions: "
Password,Password
"Confirm Password","Confirm Password"
Next,Next
Proceed,Proceed
"There was error during verifying seller shop data","There was error during verifying seller shop data"
Available.,Available.
"There was error during verifying email","There was error during verifying email"
"You have successfully registered as a Seller with us <a href=""","You have successfully registered as a Seller with us <a href="""
done,done
"Create Account","Create Account"
"Marketplace Multi-Step Registration Section","Marketplace Multi-Step Registration Section"
"Vendor Registration Manager","Vendor Registration Manager"
"Vendor Registration Group","Vendor Registration Group"
"Vendor Registration Attribute","Vendor Registration Attribute"
Webkul,Webkul
"Multi Step Vendor Registration","Multi Step Vendor Registration"
"Vendor Registration Settings","Vendor Registration Settings"
"Show Address fields","Show Address fields"
"Show Payment field","Show Payment field"
"Show Social fields","Show Social fields"
"Enable Fields","Enable Fields"
"Required Fields","Required Fields"
"Allowed Image Extension","Allowed Image Extension"
"Enter File type seperated by comma(,) like jpeg,jpg,png,gif","Enter File type seperated by comma(,) like jpeg,jpg,png,gif"
"Allowed File Extension","Allowed File Extension"
"Enter File type seperated by comma(,) like pdf,zip,doc","Enter File type seperated by comma(,) like pdf,zip,doc"
"Are you sure to assign selected Attribute to Group?","Are you sure to assign selected Attribute to Group?"
"Add Attribute","Add Attribute"
"Are you sure you want to delete?","Are you sure you want to delete?"
"Manage Display Fields","Manage Display Fields"
"Display on Seller Profile","Display on Seller Profile"
"Hide From Seller Profile","Hide From Seller Profile"
"Attribute Status","Attribute Status"
20,20
30,30
50,50
ID,ID
"Attribute Id","Attribute Id"
"Attribute Label","Attribute Label"
"Show in Seller Profile","Show in Seller Profile"
"Add New Group","Add New Group"
"Group Status","Group Status"
"Vendor Registration","Vendor Registration"
