"Vendor Attributes Settings","Vendor Attributes Settings"
"Visible on Registration","Visible en Registro"
"Visible on Profile","Visible en Perfil"
"File Display on Vendor Profile","Visualización de Archivos en el Perfil del Vendedor"
"Display Registration Fields Group Wise","Display Registration Fields Group Wise"
"If this field set to 'Yes' make sure atleast one vendor group created.","If this field set to 'Yes' make sure atleast one vendor group created."
"Image Display on Vendor Profile","Image Display on Vendor Profile"
"Allowed Image Extension","Extensión de Imagen Permitida"
"Enter File type seperated by comma(,) like jpg,png,gif","Enter File type seperated by comma(,) like jpg,png,gif"
"Allowed File Extension","Allowed File Extension"
"Enter File type seperated by comma(,) like pdf,zip,doc","Enter File type seperated by comma(,) like pdf,zip,doc"
"Seller Profile Label","Seller Profile Label"
"Terms & Conditions and  Privacy Setting","Terms & Conditions and  Privacy Setting"
"Enable Terms and Conditions on Vendor Registration Page","Enable Terms and Conditions on Vendor Registration Page"
"Enable Terms and Conditions on Customer Registration Page","Enable Terms and Conditions on Customer Registration Page"
"Privacy Popup Model Heading","Privacy Popup Model Heading"
"Term and Condition Popup Model Heading","Term and Condition Popup Model Heading"
"Model Button Text","Model Button Text"
"Button Text Color","Color del Texto del Botón"
"Save hexa code e.g: #FFFFFF, leave blank for default","Save hexa code e.g: #FFFFFF, leave blank for default"
"Model Button Color","Model Button Color"
"Model Background Color","Model Background Color"
"Model Animation Type","Model Animation Type"
"Show Content as","Mostrar Contenido como"
"Privacy & Cookie Policy","Privacy & Cookie Policy"
"Are you sure to assign selected Attribute to Group?","Are you sure to assign selected Attribute to Group?"
"Add Attribute","Agregar Atributo"
"Are you sure you want to delete?","¿Estás seguro de que quieres eliminar?"
"Manage Display Fields","Administrar Visualización de Campos"
"Display on Seller Profile","Mostrar en Perfil del Vendedor"
"Hide From Seller Profile","Ocultar del Perfil del Vendedor"
"Assign Attribute","Asignar Atributo"
ID,ID
"Attribute Id","Attribute Id"
Required,Requerido
"Show in Seller Profile","Mostrar en el Perfil del Vendedor"
"Attribute Use For","Attribute Use For"
Action,Acción
"Add New Group","Add New Group"
"Group Status","Group Status"
"Additional Info","Additional Info"
"Additional Account Information","Información Adicional de la Cuenta"
"Vendor Registration","Registro del Vendedor"
"Vendor Information","Información del Vendedor"
