"Custom Registration","Registro Personalizado"
"Enable/Disable Address Information","Enable/Disable Address Information"
"Enable Address Fields","Habilitar Campos de Dirección"
"Add New Field","Agregar Nuevo Campo"
Confirm,Confirmar
"Are you sure you wan't to disable?","¿Estás seguro que deseas deshabilitar?"
"Are you sure you wan't to enable?","¿Estás seguro que deseas habilitar?"
"Are you sure you wan't to delete?","¿Estás seguro que deseas borrar?"
"Manage Display Fields","Manage Display Fields"
"Display In Order","Mostar en Pedido"
"Hide From Order","Ocultar en Pedido"
"Display In Email","Mostar en Correo Electrónico"
"Hide From Email","Ocultar en Correo Electrónico"
20,20
30,30
50,50
100,100
200,200
ID,ID
"Attribute Id","Attribute Id"
"Attribute Label","Attribute Label"
"Show in Order","Show in Order"
"Show in Transactional Email","Show in Transactional Email"
